Entity,Year,nox,so2,co,oc,nmvoc,bc,nh3,nox_per_capita,so2_per_capita,co_per_capita,oc_per_capita,nmvoc_per_capita,bc_per_capita,nh3_per_capita
Vietnam,2001,408094.951110532,337792.63331625,7070093.44143077,158740.176641919,1576181.6966712,47101.5428272295,637375.189619489,5.05427713196446,4.18357928043555,87.5634739038879,1.96600531945308,19.5210920488661,0.583355050446168,7.89392477561616
Vietnam,2002,437779.942025482,370622.719527445,7339438.99687157,159028.627894971,1647424.85508916,48559.1357982659,648457.895419499,5.36926621243736,4.5455989516407,90.0164627045746,1.95044805985433,20.2052715595747,0.595566178615854,7.95318088799393
Vietnam,2003,443228.896174493,364440.738288363,7464481.27118208,156017.930848588,1687286.18495128,49474.6310578946,682808.40122939,5.38541945325922,4.42810985131626,90.696619722391,1.89568416477624,20.5012442150767,0.601137793229786,8.29641225688932
Vietnam,2004,492223.040113049,418628.699701308,7755508.0017248,157838.893484458,1774525.69347668,53113.2738744023,754589.888529845,5.9259126575452,5.03990449086234,93.3691828455628,1.90023509776718,21.3636571455442,0.639434964002696,9.08456818816857
Vietnam,2005,498223.197244273,441152.091894721,7954935.61118482,156400.405649886,1838587.19776155,52933.9710868014,655704.949258449,5.94306769547814,5.26229360783192,94.8906456221506,1.86562609593184,21.931632731623,0.631424179563248,7.82159265818451
Vietnam,2006,509018.785571978,451915.930717356,8167319.00686206,155990.064489265,1889467.11960496,52075.525314585,647870.999691543,6.01552304061174,5.3406883413841,96.5203977896364,1.84347189856119,22.329496110227,0.615422320867467,7.65646187617479
Vietnam,2007,534102.714133122,527826.273675655,8301504.92031974,155163.212395136,1929768.75972167,53991.7309960056,690169.016889159,6.25269626849414,6.17921849953817,97.1850310148986,1.8164828851793,22.5916431496748,0.632076726058577,8.0797515577828
Vietnam,2008,551866.990033824,511777.475057141,8441226.91226676,156684.324249532,1957824.43798063,56325.927000846,596399.167807876,6.39894573334454,5.93410432147431,97.8767599981508,1.81676836311058,22.7011445879124,0.653104021018994,6.91530020663229
Vietnam,2009,597594.540630027,521367.471953609,8723214.58246231,156823.284516113,2052709.01338878,59191.8854981133,601323.589140382,6.86162723265597,5.98638207103816,100.160631775888,1.80065721252382,23.5693653629055,0.679645856633685,6.90444445917141
Vietnam,2010,642136.553351459,511736.738468075,8977606.08557111,156343.9894176,2082531.79086575,60211.5168644503,606711.992306958,7.29968925569029,5.81732834245436,102.055761103503,1.77728947805089,23.6738351976293,0.684473357621923,6.8969894151432
Vietnam,2011,638246.551102853,458031.548382794,9028180.16684893,154946.808721253,2118732.1225316,59477.0407832937,611811.212822564,7.18168798972291,5.15386987090011,101.587032411343,1.74349494457353,23.8404312746114,0.669248503919931,6.88423185603325
Vietnam,2012,634522.79209435,409924.850466479,9074104.37278263,152120.381455688,2122772.42699606,57315.122558343,617419.264664692,7.06580366620135,4.56476669929045,101.045763435977,1.69395451571695,23.6383836547035,0.638239332215039,6.8753453117921
Vietnam,2013,631322.046758808,400069.158035172,9241941.83094998,152120.431955026,2142990.18980488,57070.051584795,623592.32800361,6.95651807673778,4.4083496594254,101.836670747101,1.6762103274695,23.6135425179358,0.628853130550751,6.87134454521817
Vietnam,2014,676287.660130124,426615.174859737,9312280.31150126,152311.576577359,2143353.14296676,58559.2723696679,630653.410548471,7.37388818458608,4.65158952724061,101.536251226764,1.6607260506326,23.370005617546,0.638499786528071,6.8763161103923
Vietnam,2015,917325.099085102,508118.332487853,10231802.6497457,214056.905021795,2292300.31573662,75755.9667967717,648530.613790851,9.89807942897103,5.48267524708216,110.402730100535,2.30970704970199,24.7342742751133,0.817418576381255,6.99774543814772
Vietnam,2016,959776.715943106,557030.505536799,9604751.28143489,214258.268077338,2196311.05838428,77354.0039894217,649176.566632333,10.2495963917204,5.94861050991216,102.570548380965,2.28809548606711,23.4547280895335,0.826074759894568,6.93265181829916
Vietnam,2017,947335.918266842,561289.105506404,10256054.9008648,212595.191983509,2234926.06614924,77942.1782098439,654878.455066573,10.0140540092207,5.93324850134633,108.414223211014,2.24729126550845,23.6248514402148,0.823907514894655,6.9225583998858
Vietnam,2018,1052623.14222453,695156.643821665,10914872.5547714,219213.881130171,2262785.93170413,83608.0810211542,661310.602820977,11.0169298861462,7.27562571794417,114.236881965197,2.29432914934521,23.682696073221,0.875056161675012,6.92138739116732
Vietnam,2019,1177238.84183024,852061.415838905,11708923.2865499,226891.6832667,2296905.23328507,90055.9840238837,667801.759763641,12.2041578545392,8.83312005276128,121.383650469419,2.35213265148808,23.81147567332,0.93358917980029,6.92294358808608
Wallis and Futuna,1950,29.038309783821,2.5613712156091,269.345541774681,25.60241546378,74.5482463419312,4.5217465174522,55.3805106869439,4.15188873088662,0.366224080012739,38.5109439197428,3.66062560248499,10.6588856651317,0.646517946447269,7.91828863124734
Wallis and Futuna,1951,30.0547425443037,2.6495848482855,279.429829345408,26.5291114863341,77.7939127595074,4.7040150844721,57.3167040468789,4.21406934160175,0.371506568744462,39.1797292968884,3.71972959707433,10.9077275321799,0.659564650094237,8.03655412883888
Wallis and Futuna,1952,31.352472942949,2.7636121739603,292.262801432181,27.7152576724662,81.8442866737599,4.9338564612374,59.6113135103655,4.3102107427755,0.379930186136967,40.1791038537505,3.81018114826316,11.2516203840748,0.67828656327157,8.19512146141951
Wallis and Futuna,1953,32.8183716125418,2.8925160934737,306.705291859852,29.0521041942976,86.3920948301208,5.1923884739215,62.1861938581242,4.42475011629255,0.389984642506903,41.3516639962049,3.91696160095694,11.6478488378213,0.700065858692396,8.38427853015022
Wallis and Futuna,1954,34.3395641064978,3.0279151051096,321.876384918153,30.4558589599326,91.1958253030214,5.4649025847694,64.5909134988717,4.55069760223931,0.401260946873787,42.6552325627025,4.03602689636001,12.0853200772623,0.72421184531797,8.55962278013142
Wallis and Futuna,1955,35.8410010732137,3.1635319418844,337.109941485477,31.8634084389946,96.0693937075175,5.7401786930665,66.6318857921735,4.67531973300466,0.412670485505401,43.9746858186117,4.15645818405878,12.5318802123034,0.748784071623598,8.69187135300985
Wallis and Futuna,1956,37.3122701726047,3.2963015167044,352.076464932715,33.237011309263,100.918801690276,6.0124428984635,68.6290439738479,4.79777165650054,0.423852580262878,45.2715012128989,4.27375740121679,12.9765721602515,0.773105683227916,8.8246166868777
Wallis and Futuna,1957,38.7560590603737,3.4250438204858,366.645485353032,34.5705517702181,105.705227258116,6.2795886947452,70.7780445251925,4.92390535641897,0.43514722658948,46.5818174759283,4.39214226530531,13.4297074397302,0.797813326736781,8.99225568862819
Wallis and Futuna,1958,40.1953386244262,3.5515238246932,381.001689463648,35.8816084660984,110.480345580207,6.5447402807074,73.1606434198892,5.04839721482369,0.446059259569606,47.8525106083456,4.50660744361949,13.8759539789258,0.82199702093788,9.18872688016694
Wallis and Futuna,1959,41.6682552183742,3.6811695995302,395.725451564658,37.2248910114807,115.412449947436,6.8178746422027,75.5392535891396,5.17040020081576,0.456777466128577,49.1035428173046,4.61904591282798,14.3209393159742,0.845995116292679,9.37327876773044
Wallis and Futuna,1960,43.1805134953782,3.8175962011171,411.206723236906,38.6078381989739,120.617861565553,7.1476500299919,77.4584690658691,5.2995230112148,0.468531688895079,50.4671972553886,4.73832083934388,14.8033703443241,0.877227544181627,9.50643950243853
Wallis and Futuna,1961,45.0212886179192,3.9467526449966,423.392730291014,39.8048606745706,124.412572820193,7.3583243675793,83.2200229777136,5.43932446755095,0.47683371330151,51.152921383474,4.80909274792444,15.0311191035632,0.889008622396919,10.0543703005574
Wallis and Futuna,1962,45.9259247676754,4.0245533723823,431.758224220073,40.5907246153125,127.504259291713,7.5037254467794,84.5768919026183,5.46802295126508,0.479170540824181,51.4059083486216,4.8328044547342,15.1808857354105,0.893407006403072,10.0698764022644
Wallis and Futuna,1963,46.6793384046063,4.090428529179,438.986501072834,41.2652996323856,130.317459750885,7.6294570450273,85.5173796652765,5.47173114577497,0.479478200583636,51.4578010869575,4.83709994518645,15.2757542786174,0.894321538509823,10.0243089515035
Wallis and Futuna,1964,47.16541125531,4.1329530721703,443.7906477429,41.7094838973831,132.450672344843,7.7131125192462,85.9757281520051,5.46401891280236,0.478794378147625,51.4122622501043,4.83196059978952,15.3441464718307,0.893548716316752,9.96011679240096
Wallis and Futuna,1965,47.3284083477909,4.1440321872828,445.383661404363,41.7686113933193,133.675317068447,7.8562071032836,86.4715412592198,5.43193025912899,0.475614849911948,51.1171423624886,4.79382662611263,15.3420540650117,0.901664995212166,9.92442801092848
Wallis and Futuna,1966,47.0806702132349,4.1198749316541,443.28005526885,41.5395119085459,133.817236006929,7.8390687375349,86.1421308703638,5.3683774473472,0.469769091408677,50.5450462108153,4.73654639778174,15.2585217795814,0.89385048318528,9.82236383926611
Wallis and Futuna,1967,46.5954528111264,4.0718200170347,438.488405525429,41.0623376605302,133.114466216656,7.7740229435358,85.7698120779278,5.29193104044593,0.462444067806326,49.7999324844326,4.66352500403523,15.1180540847991,0.882910044694583,9.7410348754035
Wallis and Futuna,1968,46.0479178083485,4.021146853896,433.373629949413,40.5564983264418,132.279127569895,7.7028297936852,84.710877336422,5.22262876356453,0.456067466700238,49.1520505783615,4.59980700084403,15.0027364829188,0.873633865678258,9.6076757782037
Wallis and Futuna,1969,45.2783656055661,3.9523717917069,426.481532402536,39.879260611978,130.94589099045,7.5998894213777,83.2939275969398,5.12430574983772,0.447303281089509,48.2663572207488,4.51327077998846,14.8195892927173,0.860105185760265,9.42665545461066
Wallis and Futuna,1970,44.04151307425,3.8630731601832,418.186616837193,39.0457766348526,129.384827498549,7.4728618505867,80.791051580098,4.97138650798623,0.436061988958483,47.2047202660789,4.4074699892598,14.6049020768201,0.843533339043538,9.1196581533015
